,campaign_number,user_engagement,banner,placement,displays,clicks,ad_spend_by_company_x,post_click_conversions,post_click_sales_amount
74,camp 1,Medium,800 x 250,mno,1,0,0.0,0,0.0
75,camp 2,Low,160 x 600,def,6745,21,0.8256,0,0.0
76,camp 2,Low,160 x 600,ghi,99,1,0.0393,0,0.0
77,camp 2,Low,160 x 600,mno,50107,367,14.427,3,66.5661
78,camp 2,Medium,160 x 600,abc,7,0,0.0,0,0.0
79,camp 2,Medium,160 x 600,def,22075,321,12.6178,4,269.4696
80,camp 2,Medium,160 x 600,ghi,2469,58,2.2803,3,236.7731
81,camp 2,Medium,160 x 600,mno,181282,3611,141.9534,56,2923.7718
82,camp 2,Low,240 x 400,def,12670,51,2.0051,0,0.0
83,camp 2,Low,240 x 400,ghi,23968,574,22.5666,10,1003.2078
84,camp 2,Low,240 x 400,jkl,3706,48,1.8871,0,0.0
85,camp 2,Low,240 x 400,mno,39787,209,8.2163,0,0.0
86,camp 2,Medium,240 x 400,def,64482,886,34.825,4,166.4344
87,camp 2,Medium,240 x 400,ghi,214846,10390,408.4178,146,12485.0212
88,camp 2,Medium,240 x 400,jkl,28666,755,29.6727,18,916.0838
89,camp 2,Medium,240 x 400,mno,184116,2720,106.9128,39,3724.3667
90,camp 2,Low,300 x 250,abc,3,1,0.0393,0,0.0
91,camp 2,Low,300 x 250,def,8682,44,1.7286,0,0.0
92,camp 2,Low,300 x 250,ghi,4354,86,3.3786,2,141.2879
93,camp 2,Low,300 x 250,jkl,128,0,0.0,0,0.0
94,camp 2,Low,300 x 250,mno,92429,498,19.5742,1,12.9709
95,camp 2,Medium,300 x 250,abc,11,0,0.0,0,0.0
96,camp 2,Medium,300 x 250,def,35227,401,15.7612,14,839.2774
97,camp 2,Medium,300 x 250,ghi,33570,1426,56.0374,38,2771.717
98,camp 2,Medium,300 x 250,jkl,2324,19,0.747,0,0.0
99,camp 2,Medium,300 x 250,mno,304259,3328,130.8237,52,6350.6364
100,camp 2,Low,468 x 60,def,273,0,0.0,0,0.0
101,camp 2,Low,468 x 60,ghi,7,0,0.0,0,0.0
102,camp 2,Low,468 x 60,mno,587,2,0.0786,0,0.0
103,camp 2,Medium,468 x 60,def,1324,9,0.3538,0,0.0
104,camp 2,Medium,468 x 60,ghi,159,0,0.0,0,0.0
105,camp 2,Medium,468 x 60,jkl,4,0,0.0,0,0.0
106,camp 2,Medium,468 x 60,mno,3094,5,0.1965,0,0.0
107,camp 2,Low,580 x 400,mno,12604,245,9.6317,0,0.0
108,camp 2,Medium,580 x 400,mno,46408,1766,69.4187,18,1683.7638
109,camp 2,Low,670 x 90,def,552,3,0.1179,0,0.0
110,camp 2,Low,670 x 90,ghi,371,5,0.1965,0,0.0
111,camp 2,Low,670 x 90,jkl,36,0,0.0,0,0.0
112,camp 2,Low,670 x 90,mno,4624,24,0.9435,0,0.0
113,camp 2,Medium,670 x 90,def,3957,40,1.572,0,0.0
114,camp 2,Medium,670 x 90,ghi,6501,102,4.0095,5,359.4609
115,camp 2,Medium,670 x 90,jkl,449,13,0.5104,0,0.0
116,camp 2,Medium,670 x 90,mno,19507,252,9.9063,6,253.8565
117,camp 2,Low,728 x 90,def,12328,74,2.9093,1,22.7769
118,camp 2,Low,728 x 90,ghi,2999,37,1.454,1,11.7896
